ID1,12/8/2016 11:13,12/8/2016 11:15,12/8/2016 11:17,12/8/2016 11:19,12/8/2016 11:21,12/8/2016 11:23,12/8/2016 11:25,12/8/2016 11:26,12/8/2016 11:28,12/8/2016 11:30,12/8/2016 11:32,12/8/2016 11:34,12/8/2016 11:36,12/8/2016 11:38,12/8/2016 11:40,12/8/2016 11:42,12/8/2016 11:44,12/8/2016 11:46,12/8/2016 11:48,12/8/2016 11:50,12/8/2016 11:52,12/8/2016 11:54,12/8/2016 11:56,12/8/2016 11:58,12/8/2016 12:00,12/8/2016 12:02,12/8/2016 12:04,12/8/2016 12:06,12/8/2016 12:08,12/8/2016 12:10,12/8/2016 12:12,12/8/2016 12:14,12/8/2016 12:16,12/8/2016 12:18,12/8/2016 12:20,12/8/2016 12:22,12/8/2016 12:24,12/8/2016 12:26,12/8/2016 12:28,12/8/2016 12:30,12/8/2016 12:32,12/8/2016 12:34,12/8/2016 12:36,12/8/2016 12:38,12/8/2016 12:40,12/8/2016 12:42,12/8/2016 12:44,12/8/2016 12:46,12/8/2016 12:48,12/8/2016 12:50,12/8/2016 12:52,12/8/2016 12:54,12/8/2016 12:56,12/8/2016 12:58,12/8/2016 13:00,12/8/2016 13:02,12/8/2016 13:04,12/8/2016 13:06,12/8/2016 13:08,12/8/2016 13:10,12/8/2016 13:12,12/8/2016 13:14,12/8/2016 13:16,12/8/2016 13:18,12/8/2016 13:20,12/8/2016 13:22,12/8/2016 13:24,12/8/2016 13:26,12/8/2016 13:28,12/8/2016 13:30,12/8/2016 13:32,12/8/2016 13:34,12/8/2016 13:36,12/8/2016 13:38,12/8/2016 13:40,12/8/2016 13:42,12/8/2016 13:44,12/8/2016 13:46,12/8/2016 13:48,12/8/2016 13:50,12/8/2016 13:52,12/8/2016 13:54,12/8/2016 13:56,12/8/2016 13:58,12/8/2016 14:00
ID2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
ID3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID4,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
ID5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
ID6,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
ID7,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16
ID8,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
ID9,38,56,59,48,54,54,40,62,43,46,44,45,44,40,45,49,62,55,22,43,43,25,21,24,25,22,19,18,26,13,17,28,33,31,33,40,46,38,8,23,27,27,9,24,19,51,42,29,27,39,37,19,16,21,27,28,35,33,45,31,36,50,38,43,39,41,31,14,26,29,28,32,21,75,81,74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ID10,1.000719572,0.920758929,0.873940678,0.88297526,0.924840856,0.911096644,0.905273438,0.915448589,0.940225291,0.898862092,0.957919034,0.918402778,0.949928977,0.915527344,0.911458333,0.879703444,0.890877016,0.900923295,0.964133523,0.91978561,0.88072311,0.96328125,0.983072917,0.883789063,0.940625,0.91352983,0.969366776,0.988498264,0.939002404,0.958533654,0.945542279,0.966796875,0.919152462,0.940020161,0.941051136,0.898925781,0.909476902,0.946751645,1.037597656,0.963824728,0.938946759,1.051070602,0.993923611,0.970052083,1.020764803,0.908394608,0.933779762,0.917295259,0.972222222,0.934495192,0.936444257,0.934416118,0.933837891,0.932849702,0.884693287,0.951450893,0.949776786,0.941642992,0.924479167,0.929939516,0.902235243,0.90703125,0.91848273,0.946130087,0.964543269,0.951314787,0.970892137,1.030970982,0.977313702,0.98127694,0.941685268,0.928955078,0.998883929,1.132552083,1.129918981,1.134132179,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ID11,0.142402243,0.159389124,0.144328752,0.120395902,0.15058062,0.12573014,0.139764747,0.151638693,0.14575908,0.122872046,0.145973525,0.119349209,0.143468587,0.152652105,0.135636443,0.168861521,0.151880619,0.154890212,0.137915344,0.178030723,0.154426555,0.155711964,0.167597397,0.135958435,0.165217136,0.16876195,0.127279982,0.124095361,0.148532358,0.154708694,0.155800566,0.136408378,0.154171617,0.147866048,0.144307932,0.142051138,0.154704387,0.138683164,0.189775734,0.123471531,0.150503353,0.140532847,0.13826016,0.168079963,0.101035732,0.150447562,0.142041562,0.162698508,0.12742416,0.140666288,0.134684295,0.160566352,0.148440712,0.126109693,0.155385115,0.111104814,0.147007011,0.129900945,0.147398897,0.132915614,0.143966034,0.124039678,0.132115655,0.138323801,0.130067242,0.143274992,0.152809913,0.134920908,0.139150338,0.146963055,0.140073058,0.152337086,0.118528415,0.075268003,0.060049551,0.083575587,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
