ID1,12/6/2016 13:33,12/6/2016 13:35,12/6/2016 13:37,12/6/2016 13:39,12/6/2016 13:41,12/6/2016 13:43,12/6/2016 13:45,12/6/2016 13:46,12/6/2016 13:48,12/6/2016 13:50,12/6/2016 13:52,12/6/2016 13:54,12/6/2016 13:56,12/6/2016 13:58,12/6/2016 14:00,12/6/2016 14:02,12/6/2016 14:04,12/6/2016 14:06,12/6/2016 14:08,12/6/2016 14:10,12/6/2016 14:12,12/6/2016 14:14,12/6/2016 14:16,12/6/2016 14:18,12/6/2016 14:20,12/6/2016 14:22,12/6/2016 14:24,12/6/2016 14:26,12/6/2016 14:28,12/6/2016 14:30,12/6/2016 14:32,12/6/2016 14:34,12/6/2016 14:36,12/6/2016 14:38,12/6/2016 14:40,12/6/2016 14:42,12/6/2016 14:44,12/6/2016 14:46,12/6/2016 14:48,12/6/2016 14:50,12/6/2016 14:52,12/6/2016 14:54,12/6/2016 14:56,12/6/2016 14:58,12/6/2016 15:00,12/6/2016 15:02,12/6/2016 15:04,12/6/2016 15:06,12/6/2016 15:08,12/6/2016 15:10,12/6/2016 15:12,12/6/2016 15:14,12/6/2016 15:16,12/6/2016 15:18,12/6/2016 15:20,12/6/2016 15:22,12/6/2016 15:24,12/6/2016 15:26,12/6/2016 15:28,12/6/2016 15:30,12/6/2016 15:32,12/6/2016 15:34,12/6/2016 15:36,12/6/2016 15:38,12/6/2016 15:40,12/6/2016 15:42,12/6/2016 15:44,12/6/2016 15:46,12/6/2016 15:48,12/6/2016 15:50,12/6/2016 15:52,12/6/2016 15:54,12/6/2016 15:56,12/6/2016 15:58,12/6/2016 16:00,12/6/2016 16:02,12/6/2016 16:04,12/6/2016 16:06,12/6/2016 16:08,12/6/2016 16:10,12/6/2016 16:12,12/6/2016 16:14,12/6/2016 16:16,12/6/2016 16:18,12/6/2016 16:20
ID2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ID3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
ID5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5
ID6,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
ID7,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15
ID8,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
ID9,75,60,71,73,71,86,55,48,77,63,83,65,71,79,69,83,70,86,64,61,68,82,66,65,73,53,84,82,85,81,82,84,54,77,84,88,94,74,91,74,69,77,80,87,73,63,65,71,81,59,87,50,82,63,64,54,30,81,42,57,68,64,64,61,70,69,65,83,28,35,67,63,49,58,45,62,64,77,85,78,80,75,80,83,54
ID10,1.001041667,1.025716146,1.018100792,1.028735017,1.038457306,1.031976744,1.057883523,1.031494141,1.020190747,1.045076885,1.020566642,1.036057692,1.020026408,1.032189478,1.041949728,1.026449548,1.051897321,1.062863372,1.060180664,1.062051742,1.039464614,1.046589177,1.0546875,1.046875,1.04880137,1.042158019,1.026785714,1.03991997,1.027573529,1.034191744,1.040158155,1.038876488,1.064091435,1.038453734,1.035853795,1.045143821,1.049285239,1.067356419,1.037731799,1.068412162,1.042515851,1.030844156,1.044189453,1.039646193,1.048266267,1.050037202,1.046875,1.05193662,1.063850309,1.061639301,1.04997306,1.05546875,1.037776296,1.056547619,1.031494141,1.050347222,1.036458333,1.060474537,1.025855655,1.018708882,1.047219669,1.033935547,1.036987305,1.03803791,1.033761161,1.050441576,1.030949519,1.049745858,1.039341518,1.01171875,1.038654384,1.048797123,1.027981505,1.038860453,1.043836806,1.042716734,1.055297852,1.041751218,1.057444853,1.073968349,1.067871094,1.053385417,1.058349609,1.064570783,1.087601273
ID11,0.040753786,0.044551408,0.0469133,0.038108855,0.050499941,0.039955382,0.058805995,0.05791891,0.04117637,0.05130116,0.029232235,0.056987962,0.056142668,0.045331385,0.040725471,0.033726238,0.043391993,0.037234951,0.045168372,0.041457186,0.037553283,0.02657002,0.040100394,0.040530285,0.03649391,0.035541084,0.036919486,0.040548623,0.034637547,0.040371292,0.03867611,0.045424602,0.044689872,0.040377063,0.040272856,0.040602967,0.03749854,0.044729224,0.032709099,0.048785805,0.042777903,0.035511864,0.057884332,0.04927585,0.032069138,0.027107428,0.057856692,0.034984665,0.038950819,0.050615548,0.054186012,0.041565233,0.024698087,0.040106126,0.049321662,0.040980806,0.040365308,0.034311193,0.065738507,0.032554531,0.043481063,0.051835698,0.040541022,0.055108598,0.032803843,0.045911216,0.042073344,0.029390946,0.063200721,0.08524011,0.030773882,0.037229373,0.034686046,0.039986484,0.039843827,0.040686472,0.042899468,0.042106231,0.045221421,0.047477108,0.043259387,0.0397601,0.042507066,0.037154915,0.070759853
