ID1,7/28/2016 12:18,7/28/2016 12:20,7/28/2016 12:22,7/28/2016 12:24,7/28/2016 12:26,7/28/2016 12:28,7/28/2016 12:30,7/28/2016 12:31,7/28/2016 12:33,7/28/2016 12:35,7/28/2016 12:37,7/28/2016 12:39,7/28/2016 12:41,7/28/2016 12:43,7/28/2016 12:45,7/28/2016 12:47,7/28/2016 12:49,7/28/2016 12:51,7/28/2016 12:53,7/28/2016 12:55,7/28/2016 12:57,7/28/2016 12:59,7/28/2016 13:01,7/28/2016 13:03,7/28/2016 13:05,7/28/2016 13:07,7/28/2016 13:09,7/28/2016 13:11,7/28/2016 13:13,7/28/2016 13:15,7/28/2016 13:17,7/28/2016 13:19,7/28/2016 13:21,7/28/2016 13:23,7/28/2016 13:25,7/28/2016 13:27,7/28/2016 13:29,7/28/2016 13:31,7/28/2016 13:33,7/28/2016 13:35,7/28/2016 13:37,7/28/2016 13:39,7/28/2016 13:41,7/28/2016 13:43,7/28/2016 13:45,7/28/2016 13:47,7/28/2016 13:49,7/28/2016 13:51,7/28/2016 13:53,7/28/2016 13:55,7/28/2016 13:57,7/28/2016 13:59,7/28/2016 14:01,7/28/2016 14:03,7/28/2016 14:05,7/28/2016 14:07,7/28/2016 14:09,7/28/2016 14:11,7/28/2016 14:13,7/28/2016 14:15,7/28/2016 14:17,7/28/2016 14:19,7/28/2016 14:21,7/28/2016 14:23,7/28/2016 14:25,7/28/2016 14:27,7/28/2016 14:29,7/28/2016 14:31,7/28/2016 14:33,7/28/2016 14:35,7/28/2016 14:37,7/28/2016 14:39,7/28/2016 14:41,7/28/2016 14:43,7/28/2016 14:45,7/28/2016 14:47,7/28/2016 14:49,7/28/2016 14:51,7/28/2016 14:53,7/28/2016 14:55,7/28/2016 14:57,7/28/2016 14:59,7/28/2016 15:01,7/28/2016 15:03,7/28/2016 15:05
ID2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ID3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID4,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
ID5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
ID6,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
ID7,7,7,7,7,7,7,7,7,7,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ID8,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,9,9,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ID9,74,66,79,72,68,82,69,79,71,71,49,82,46,73,63,63,77,74,71,74,64,61,48,69,85,43,15,62,47,62,54,54,73,38,70,42,49,68,40,49,65,68,28,53,62,67,21,8,62,57,20,65,30,67,54,58,14,58,52,19,100,83,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ID10,1.036739865,1.015920928,1.029964399,1.011013455,1.017922794,1.041349085,1.00317029,1.034661788,1.051661532,1.046709947,1.056680485,1.035394436,1.034307065,1.056292808,1.011594742,1.012524802,1.046824269,1.034100507,1.033230634,1.043866132,1.03515625,1.011782787,1.057942708,1.070822011,1.057674632,1.031522529,1.076822917,1.07484879,1.070063165,1.077998992,1.065538194,1.065538194,1.071008134,1.070106908,1.062779018,1.057477679,1.084980867,1.079101563,1.063476563,1.070631378,1.073617788,1.062155331,1.057477679,1.046211675,1.045866935,1.047108209,0.987723214,0.95703125,1.060042843,1.036869518,0.983398438,1.056189904,1.005859375,1.013584422,1.039134838,1.044585129,1.037946429,1.056034483,1.034029447,1.041324013,0.969726563,0.97844503,0.985054348,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ID11,0.082785637,0.049823676,0.074057056,0.072599277,0.081024875,0.065599824,0.095387891,0.068446937,0.063815663,0.070774267,0.072120854,0.075018654,0.067527368,0.074710643,0.049629107,0.09453208,0.072198898,0.107604962,0.086162634,0.075895376,0.096313939,0.126014139,0.093654142,0.048995179,0.051011978,0.068360147,0.068803035,0.085900215,0.066910868,0.056897703,0.087975888,0.091504866,0.06710892,0.057107035,0.059529148,0.082139092,0.035449179,0.061520777,0.064087108,0.065833336,0.059599245,0.054935701,0.064606231,0.093394809,0.052892146,0.075180916,0.148690603,0.150566267,0.037120218,0.105132404,0.145369938,0.064989821,0.116031248,0.04675825,0.08324362,0.062649879,0.110712849,0.091233564,0.089746579,0.094804864,0.054708281,0.068520095,0.06225702,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
