ID1,10/12/2016 23:26,10/12/2016 23:28,10/12/2016 23:30,10/12/2016 23:32,10/12/2016 23:34,10/12/2016 23:36,10/12/2016 23:38,10/12/2016 23:39,10/12/2016 23:41,10/12/2016 23:43,10/12/2016 23:45,10/12/2016 23:47,10/12/2016 23:49,10/12/2016 23:51,10/12/2016 23:53,10/12/2016 23:55,10/12/2016 23:57,10/12/2016 23:59,10/13/2016 0:01,10/13/2016 0:03,10/13/2016 0:05,10/13/2016 0:07,10/13/2016 0:09,10/13/2016 0:11,10/13/2016 0:13,10/13/2016 0:15,10/13/2016 0:17,10/13/2016 0:19,10/13/2016 0:21,10/13/2016 0:23,10/13/2016 0:25,10/13/2016 0:27,10/13/2016 0:29,10/13/2016 0:31,10/13/2016 0:33,10/13/2016 0:35,10/13/2016 0:37,10/13/2016 0:39,10/13/2016 0:41,10/13/2016 0:43,10/13/2016 0:45,10/13/2016 0:47,10/13/2016 0:49,10/13/2016 0:51,10/13/2016 0:53,10/13/2016 0:55,10/13/2016 0:57,10/13/2016 0:59,10/13/2016 1:01,10/13/2016 1:03,10/13/2016 1:05,10/13/2016 1:07,10/13/2016 1:09,10/13/2016 1:11,10/13/2016 1:13,10/13/2016 1:15,10/13/2016 1:17,10/13/2016 1:19,10/13/2016 1:21,10/13/2016 1:23,10/13/2016 1:25,10/13/2016 1:27,10/13/2016 1:29,10/13/2016 1:31,10/13/2016 1:33,10/13/2016 1:35,10/13/2016 1:37,10/13/2016 1:39,10/13/2016 1:41,10/13/2016 1:43,10/13/2016 1:45,10/13/2016 1:47,10/13/2016 1:49,10/13/2016 1:51,10/13/2016 1:53,10/13/2016 1:55,10/13/2016 1:57,10/13/2016 1:59,10/13/2016 2:01,10/13/2016 2:03,10/13/2016 2:05,10/13/2016 2:07,10/13/2016 2:09,10/13/2016 2:11,10/13/2016 2:13
ID2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
ID3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID4,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
ID5,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2
ID6,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
ID7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
ID8,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
ID9,69,77,64,85,74,75,72,87,93,71,82,82,90,91,85,91,97,101,53,80,85,54,45,68,80,27,68,72,77,82,84,63,91,91,93,61,68,98,86,98,78,88,69,98,70,54,104,80,90,96,79,86,88,84,87,37,68,82,99,84,98,78,84,82,81,83,86,89,89,94,71,72,53,85,93,88,93,104,79,93,84,82,93,88,0
ID10,0.972599638,0.964894481,0.971984863,0.969898897,0.96521326,0.96328125,0.989583333,0.990256825,0.979082661,1.00022007,0.97894436,0.982517149,0.993706597,0.984289148,0.996553309,0.977206387,0.980992268,0.993193069,0.978036557,0.971679688,0.980009191,0.97620081,0.94921875,0.960477941,0.956054688,0.999710648,0.974839154,0.94780816,0.981635552,0.990377287,0.98609561,0.994853671,0.968191964,1.021634615,1.019405242,1.00473873,0.971679688,0.966597577,0.987463663,0.986128827,1.030148237,1.010520241,1.006850091,0.976163903,0.965122768,0.974754051,0.971491887,0.984863281,0.955295139,0.945841471,0.96444818,0.952489099,0.93639027,0.959821429,0.971399066,0.963365709,0.98259421,0.956316692,0.96551452,0.966331845,0.972775829,0.970052083,0.963541667,0.953220274,0.964265046,0.986210467,0.961800509,0.966467697,0.962298104,0.951628989,0.982889525,0.969780816,0.964770047,0.956801471,0.962491599,0.970791903,0.978662634,0.985201322,0.964695411,0.966271841,0.942847842,0.949647485,0.94968078,0.937943892,0
ID11,0.078094815,0.069506914,0.102569968,0.059938753,0.063762036,0.089742709,0.052140612,0.0582989,0.068403385,0.068928237,0.067126451,0.074905262,0.061263484,0.055615813,0.057338399,0.055046761,0.058695736,0.049363173,0.072963619,0.074421463,0.036685549,0.061352923,0.082696504,0.084694973,0.068290469,0.117317266,0.074829583,0.079147972,0.056624902,0.070286226,0.074171303,0.06293489,0.057287439,0.073639248,0.052095031,0.069193625,0.055589473,0.04593301,0.044498247,0.056665608,0.079472694,0.070669189,0.068771427,0.055027277,0.084874127,0.071714087,0.058435212,0.070096183,0.063585398,0.047483103,0.07751564,0.055216261,0.060931136,0.076288108,0.057095346,0.066720504,0.084850534,0.034373948,0.050621684,0.079494086,0.061868726,0.077658578,0.04863557,0.052123016,0.053883286,0.070840711,0.074233022,0.071466542,0.057077023,0.069062559,0.057350524,0.080906135,0.087877238,0.061872997,0.055044629,0.062269401,0.071557699,0.057077814,0.080554771,0.074294211,0.079602417,0.067493779,0.073244394,0.074268198,0
