ID1,5/19/2016 22:37,5/19/2016 22:39,5/19/2016 22:41,5/19/2016 22:43,5/19/2016 22:45,5/19/2016 22:47,5/19/2016 22:49,5/19/2016 22:50,5/19/2016 22:52,5/19/2016 22:54,5/19/2016 22:56,5/19/2016 22:58,5/19/2016 23:00,5/19/2016 23:02,5/19/2016 23:04,5/19/2016 23:06,5/19/2016 23:08,5/19/2016 23:10,5/19/2016 23:12,5/19/2016 23:14,5/19/2016 23:16,5/19/2016 23:18,5/19/2016 23:20,5/19/2016 23:22,5/19/2016 23:24,5/19/2016 23:26,5/19/2016 23:28,5/19/2016 23:30,5/19/2016 23:32,5/19/2016 23:34,5/19/2016 23:36,5/19/2016 23:38,5/19/2016 23:40,5/19/2016 23:42,5/19/2016 23:44,5/19/2016 23:46,5/19/2016 23:48,5/19/2016 23:50,5/19/2016 23:52,5/19/2016 23:54,5/19/2016 23:56,5/19/2016 23:58,5/20/2016 0:00,5/20/2016 0:02,5/20/2016 0:04,5/20/2016 0:06,5/20/2016 0:08,5/20/2016 0:10,5/20/2016 0:12,5/20/2016 0:14,5/20/2016 0:16,5/20/2016 0:18,5/20/2016 0:20,5/20/2016 0:22,5/20/2016 0:24,5/20/2016 0:26,5/20/2016 0:28,5/20/2016 0:30,5/20/2016 0:32,5/20/2016 0:34,5/20/2016 0:36,5/20/2016 0:38,5/20/2016 0:40,5/20/2016 0:42,5/20/2016 0:44,5/20/2016 0:46,5/20/2016 0:48,5/20/2016 0:50,5/20/2016 0:52,5/20/2016 0:54,5/20/2016 0:56,5/20/2016 0:58,5/20/2016 1:00,5/20/2016 1:02,5/20/2016 1:04,5/20/2016 1:06,5/20/2016 1:08,5/20/2016 1:10,5/20/2016 1:12,5/20/2016 1:14,5/20/2016 1:16,5/20/2016 1:18,5/20/2016 1:20,5/20/2016 1:22,5/20/2016 1:24
ID2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ID3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
ID5,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2
ID6,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
ID7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ID8,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ID9,95,75,102,82,90,93,73,61,75,90,73,64,70,98,79,77,76,69,95,73,88,33,87,83,63,62,65,93,75,62,77,88,66,94,75,55,110,79,80,96,90,79,57,74,72,78,67,87,75,38,71,75,69,76,70,62,52,56,86,74,69,57,72,69,33,61,60,70,86,72,39,71,70,78,84,67,62,67,81,73,59,56,92,84,57
ID10,0.850328947,0.866145833,0.857077206,0.87771532,0.883680556,0.863995296,0.892283818,0.862576844,0.87890625,0.887369792,0.902718322,0.898742676,0.875279018,0.894850128,0.877175633,0.934963474,0.93698602,0.904381793,0.898026316,0.926262842,0.882901278,0.885416667,0.891253592,0.899143449,0.889756944,0.908518145,0.92578125,0.911038306,0.875520833,0.863785282,0.868506494,0.890891335,0.895774148,0.883892952,0.87109375,0.865411932,0.850497159,0.884098101,0.871337891,0.872599284,0.893446181,0.934780459,0.935786732,0.964685389,0.923394097,0.937249599,0.924965019,0.972521552,0.973697917,0.95703125,0.972161092,0.984895833,0.993546196,1.003803454,1.017020089,1.010269657,1.043419471,1.082938058,1.03697311,1.032516892,1.018172554,1.089980811,1.083984375,1.082710598,1.045217803,1.053086578,1.038085938,1.053850446,1.079442224,1.037597656,1.051682692,1.067616637,1.039620536,1.034154647,1.068638393,1.054104478,1.084299395,1.048565765,1.046971451,1.031410531,1.026549258,1.014927455,1.026027514,1.00609189,0.998834978
ID11,0.059406113,0.068903431,0.046504027,0.056619216,0.060946665,0.048048968,0.084188317,0.049818131,0.062013122,0.065144022,0.079085256,0.082973042,0.063204817,0.06727041,0.079008295,0.077372938,0.043960349,0.077207993,0.053373004,0.079264009,0.065227014,0.09247313,0.066675225,0.073107618,0.079047117,0.067077312,0.093464735,0.058213579,0.065833471,0.057724876,0.059830057,0.049057187,0.063254754,0.056486248,0.075234207,0.063218428,0.068971567,0.089760364,0.088690146,0.071551963,0.059685314,0.077353347,0.080553148,0.07162154,0.061869466,0.072909135,0.076154534,0.075827988,0.061737635,0.042110791,0.057200434,0.056640928,0.079964068,0.062587743,0.070328336,0.066084283,0.055961899,0.035513425,0.043169641,0.034262616,0.060932293,0.064823934,0.065888033,0.067448822,0.100320257,0.061793603,0.08175057,0.069068264,0.056481888,0.09483363,0.106368986,0.084681857,0.086146418,0.100279175,0.072989346,0.064417258,0.090423912,0.070355968,0.061428732,0.088410975,0.087140687,0.096474691,0.058015049,0.056272583,0.053671429
