ID1,10/25/2016 14:50,10/25/2016 14:52,10/25/2016 14:54,10/25/2016 14:56,10/25/2016 14:58,10/25/2016 15:00,10/25/2016 15:02,10/25/2016 15:04,10/25/2016 15:06,10/25/2016 15:08,10/25/2016 15:10,10/25/2016 15:12,10/25/2016 15:14,10/25/2016 15:16,10/25/2016 15:18,10/25/2016 15:20,10/25/2016 15:22,10/25/2016 15:24,10/25/2016 15:26,10/25/2016 15:28,10/25/2016 15:30,10/25/2016 15:32,10/25/2016 15:34,10/25/2016 15:36,10/25/2016 15:38,10/25/2016 15:40,10/25/2016 15:42,10/25/2016 15:44,10/25/2016 15:46,10/25/2016 15:48,10/25/2016 15:50,10/25/2016 15:52,10/25/2016 15:54,10/25/2016 15:56,10/25/2016 15:58,10/25/2016 16:00,10/25/2016 16:02,10/25/2016 16:04,10/25/2016 16:06,10/25/2016 16:08,10/25/2016 16:10,10/25/2016 16:12,10/25/2016 16:14,10/25/2016 16:16,10/25/2016 16:18,10/25/2016 16:20,10/25/2016 16:22,10/25/2016 16:24,10/25/2016 16:26,10/25/2016 16:28,10/25/2016 16:30,10/25/2016 16:32,10/25/2016 16:34,10/25/2016 16:36,10/25/2016 16:38,10/25/2016 16:40,10/25/2016 16:42,10/25/2016 16:44,10/25/2016 16:46,10/25/2016 16:48,10/25/2016 16:50,10/25/2016 16:52,10/25/2016 16:54,10/25/2016 16:56,10/25/2016 16:58,10/25/2016 17:00,10/25/2016 17:02,10/25/2016 17:04,10/25/2016 17:06,10/25/2016 17:08,10/25/2016 17:10,10/25/2016 17:12,10/25/2016 17:14,10/25/2016 17:16,10/25/2016 17:18,10/25/2016 17:20,10/25/2016 17:22,10/25/2016 17:24,10/25/2016 17:26,10/25/2016 17:28,10/25/2016 17:30,10/25/2016 17:32,10/25/2016 17:34,10/25/2016 17:36,10/25/2016 17:38
ID2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ID3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ID5,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1
ID6,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
ID7,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
ID8,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ID9,71,90,85,84,103,70,90,92,67,99,78,63,74,92,73,66,97,86,63,58,44,77,100,44,46,73,82,88,81,65,65,83,91,69,77,72,100,84,89,89,73,90,94,69,93,86,78,65,84,92,77,68,64,72,86,80,32,72,77,76,88,81,90,87,79,77,96,79,73,65,70,68,81,95,75,65,76,84,80,68,83,89,84,73,62
ID10,0.995268486,0.981553819,0.988511029,1.027483259,0.970115291,0.969866071,0.951171875,0.967433764,0.983267257,0.94854798,0.978315304,0.953931052,0.965477196,0.930706522,0.979773116,0.959694602,0.945352771,0.952716206,0.962921627,0.954000539,0.943714489,0.963372565,0.961914063,1.016512784,0.963400136,0.986194349,0.971560595,0.960138494,0.988618827,0.961237981,0.990384615,0.977033133,0.967548077,0.991564764,0.983157468,0.987141927,0.967773438,0.990280878,0.981170997,1.008602528,0.996896404,1.010633681,1.001496011,1.030627264,0.993573589,1.022438227,1.031650641,1.02734375,1.023530506,1.001188859,1.025771104,1.027975643,1.042175293,1.046278212,1.042196584,1.021484375,1.022949219,1.032172309,1.023488231,1.030787418,1.023393111,1.039978781,1.041015625,1.048626078,1.017850079,1.032112419,1.029459635,1.026255934,1.052279538,1.027944712,1.061941964,1.045783548,1.053240741,1.032894737,1.028125,1.024639423,1.046720806,1.021205357,1.035644531,1.01160386,1.022919804,1.041520365,1.050037202,1.012414384,1.081779234
ID11,0.074221439,0.053553488,0.064079604,0.078126051,0.063752925,0.122713071,0.079939107,0.07065573,0.103044543,0.062400372,0.074301868,0.08629804,0.070092249,0.066937841,0.081770788,0.082785166,0.060964138,0.083156086,0.069065417,0.057242006,0.067497122,0.0739967,0.057523568,0.075345089,0.083175953,0.090276927,0.067226053,0.061399134,0.080503817,0.073849396,0.058870104,0.06962207,0.069286722,0.071381852,0.065364862,0.081947207,0.072250694,0.064227737,0.072125271,0.077972107,0.081668653,0.058525029,0.048132584,0.056957166,0.051209411,0.04561018,0.063717064,0.052793117,0.076407072,0.051542396,0.072223271,0.064813364,0.04582033,0.065382671,0.052571387,0.076652459,0.055631169,0.061296922,0.042891553,0.054650162,0.058969682,0.06055718,0.0460568,0.052213692,0.041253097,0.075382644,0.042500501,0.071372707,0.042435883,0.074976952,0.0788415,0.057508393,0.048414043,0.036801146,0.058120272,0.068887203,0.057514154,0.052998352,0.061211548,0.062729038,0.060446973,0.038138858,0.053691706,0.102475163,0.089493289
ID12,0.682341192,0.722489899,0.730714748,0.766268564,0.661441424,0.88864655,0.674864633,0.699633711,0.75714877,0.633159145,0.597643648,0.600207619,0.648921965,0.658706399,0.697169244,0.61072298,0.637474369,0.673033587,0.646850631,0.646368608,0.58731857,0.600947293,0.673738569,0.687353638,0.592539555,0.633220769,0.639061719,0.618573761,0.700490079,0.651773084,0.657479521,0.682399829,0.694193245,0.671769236,0.65888028,0.716990871,0.672258884,0.694167774,0.663490577,0.677887067,0.683193049,0.714940631,0.718506862,0.704787085,0.739231719,0.734197309,0.69254422,0.701345181,0.709617469,0.705447318,0.698274658,0.751603055,0.708238612,0.725235457,0.729374037,0.6644826,0.674345802,0.703692601,0.732342515,0.703500527,0.755158867,0.717532554,0.707126225,0.735555128,0.719874814,0.730955295,0.741320165,0.714064456,0.737157916,0.715835752,0.737388559,0.6943103,0.718750682,0.726040959,0.715367056,0.751419471,0.717997876,0.721781787,0.718786188,0.689247954,0.726324785,0.729862149,0.712884857,0.757525096,0.535920932
