ID1,8/26/2016 18:33,8/26/2016 18:35,8/26/2016 18:37,8/26/2016 18:39,8/26/2016 18:41,8/26/2016 18:43,8/26/2016 18:45,8/26/2016 18:46,8/26/2016 18:48,8/26/2016 18:50,8/26/2016 18:52,8/26/2016 18:54,8/26/2016 18:56,8/26/2016 18:58,8/26/2016 19:00,8/26/2016 19:02,8/26/2016 19:04,8/26/2016 19:06,8/26/2016 19:08,8/26/2016 19:10,8/26/2016 19:12,8/26/2016 19:14,8/26/2016 19:16,8/26/2016 19:18,8/26/2016 19:20,8/26/2016 19:22,8/26/2016 19:24,8/26/2016 19:26,8/26/2016 19:28,8/26/2016 19:30,8/26/2016 19:32,8/26/2016 19:34,8/26/2016 19:36,8/26/2016 19:38,8/26/2016 19:40,8/26/2016 19:42,8/26/2016 19:44,8/26/2016 19:46,8/26/2016 19:48,8/26/2016 19:50,8/26/2016 19:52,8/26/2016 19:54,8/26/2016 19:56,8/26/2016 19:58,8/26/2016 20:00,8/26/2016 20:02,8/26/2016 20:04,8/26/2016 20:06,8/26/2016 20:08,8/26/2016 20:10,8/26/2016 20:12,8/26/2016 20:14,8/26/2016 20:16,8/26/2016 20:18,8/26/2016 20:20,8/26/2016 20:22,8/26/2016 20:24,8/26/2016 20:26,8/26/2016 20:28,8/26/2016 20:30,8/26/2016 20:32,8/26/2016 20:34,8/26/2016 20:36,8/26/2016 20:38,8/26/2016 20:40,8/26/2016 20:42,8/26/2016 20:44,8/26/2016 20:46,8/26/2016 20:48,8/26/2016 20:50,8/26/2016 20:52,8/26/2016 20:54,8/26/2016 20:56,8/26/2016 20:58,8/26/2016 21:00,8/26/2016 21:02,8/26/2016 21:04,8/26/2016 21:06,8/26/2016 21:08,8/26/2016 21:10,8/26/2016 21:12,8/26/2016 21:14,8/26/2016 21:16,8/26/2016 21:18,8/26/2016 21:20
ID2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
ID3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID4,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
ID5,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6
ID6,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
ID7,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,14,14,14,14,14,14
ID8,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ID9,62,59,64,84,73,82,72,56,44,82,50,60,73,74,78,75,79,60,45,61,51,77,44,55,67,42,68,77,76,75,44,72,63,44,76,31,69,31,78,80,34,44,50,73,68,31,72,65,54,59,45,59,58,72,78,72,36,55,82,78,62,56,75,41,69,76,72,71,68,35,71,69,82,65,64,43,72,77,81,73,75,74,64,48,62
ID10,1.059727823,1.079184322,1.090393066,1.093982515,1.077429366,1.117092226,1.106228299,1.101771763,1.100852273,1.080173399,1.1078125,1.108723958,1.093482449,1.104043497,1.103766026,1.08671875,1.054440269,1.080078125,1.115885417,1.125128074,1.018688725,1.103896104,1.094193892,1.099786932,1.109200093,1.09421503,1.121897978,1.108208198,1.131527549,1.077083333,1.118607955,1.102701823,1.106770833,1.084872159,1.111739309,1.084929435,1.079879982,0.998613911,1.06244992,1.115966797,1.079963235,1.108398438,1.0953125,1.101776541,1.082835478,1.105090726,1.094292535,1.106971154,1.09447338,1.105336335,1.110243056,1.07421875,1.086678341,1.105143229,1.095002003,1.090766059,1.111111111,1.100142045,1.102801067,1.117538061,1.117376512,1.119907924,1.1125,1.032298018,1.090070199,1.117907072,1.120605469,1.102277729,1.092313879,1.081473214,1.086597711,1.10790308,1.101610137,1.115985577,1.118469238,1.077852471,1.111382378,1.110491071,1.106047454,1.116491866,1.1265625,1.133868243,1.123352051,1.123453776,1.081779234
ID11,0.090298894,0.06329817,0.06626154,0.068635753,0.037542827,0.040534456,0.047987992,0.048956052,0.050912263,0.055130842,0.060236847,0.043505095,0.075327881,0.054884271,0.044039608,0.051937525,0.055020385,0.041673218,0.070740294,0.029680365,0.120422316,0.06213678,0.047185983,0.060710316,0.050605359,0.067311919,0.044561408,0.063951412,0.039623,0.043281138,0.056255368,0.061233585,0.068021016,0.083975876,0.037974852,0.092278864,0.080257366,0.143501924,0.088939268,0.044466896,0.085949526,0.078025577,0.043911419,0.05646033,0.046192554,0.058327126,0.052548334,0.069664208,0.065050915,0.028814419,0.039274009,0.06144294,0.077583295,0.060243964,0.045543407,0.041678951,0.045692339,0.039072363,0.044389301,0.031421921,0.049402627,0.047445157,0.032339537,0.117882135,0.041333806,0.038122601,0.046293421,0.056677404,0.088789145,0.062680281,0.033706375,0.057422037,0.06167623,0.050729217,0.051173483,0.077571492,0.03095282,0.063424296,0.048183681,0.053291419,0.028748026,0.031657349,0.03998056,0.045935705,0.089493289
ID12,0.471829994,0.450193566,0.423083507,0.393134636,0.456105328,0.410879989,0.410439872,0.418483591,0.400630188,0.406197744,0.397755004,0.425556875,0.420593046,0.436413061,0.408704709,0.407728931,0.44704024,0.433301783,0.473589606,0.432255647,0.536285321,0.428476087,0.470397714,0.482635197,0.424532785,0.416357377,0.3880274,0.419065903,0.411241664,0.417730037,0.451832286,0.43991235,0.444712388,0.504683473,0.403254288,0.466587377,0.457507752,0.695122733,0.42792791,0.42842469,0.475211287,0.447158723,0.421383546,0.4375098,0.464992141,0.556905623,0.427184434,0.444225913,0.48151171,0.418254603,0.369380777,0.497653831,0.452810238,0.388119161,0.413366581,0.418981111,0.456755608,0.467140904,0.437436046,0.430897622,0.400190092,0.447077247,0.424945344,0.519406606,0.372718794,0.394771099,0.461667409,0.433838848,0.451350058,0.527719854,0.392165133,0.433416311,0.5013082,0.50394745,0.476984631,0.514604923,0.413455557,0.513176496,0.469993473,0.47769772,0.392685278,0.395104789,0.469996459,0.624914673,0.535920932
ID13,0.214394225,0.177579097,0.198155817,0.18900694,0.14851884,0.144229244,0.212746982,0.146196813,0.168502645,0.169161951,0.157179949,0.127399799,0.151102065,0.156236026,0.198914334,0.170106128,0.229082854,0.188177724,0.200247839,0.14968858,0.249400644,0.217282419,0.23734087,0.169335679,0.210356402,0.202835809,0.167843652,0.170543968,0.14408125,0.213285348,0.220271491,0.168518389,0.184919269,0.34147207,0.161873375,0.201465454,0.1809771,0.438851422,0.195626909,0.148082464,0.150333717,0.204162781,0.148944253,0.222348914,0.17996292,0.222746572,0.178897599,0.155307878,0.219672603,0.162122424,0.15764368,0.233246011,0.196116337,0.169756008,0.149421151,0.154149857,0.245961473,0.217546786,0.159259694,0.17139054,0.158680859,0.178201376,0.195552025,0.2592175,0.149235104,0.153296778,0.145175897,0.179628821,0.229639839,0.271254285,0.183839585,0.243062271,0.174164241,0.264462538,0.249396625,0.380953808,0.154668949,0.168119494,0.157185495,0.146509075,0.154948196,0.181069056,0.214403075,0.361773412,0.222625711
ID14,0.399327726,0.383208284,0.366494706,0.367183991,0.386695671,0.360624542,0.366861286,0.370585695,0.37201652,0.364299712,0.364158527,0.356294106,0.354438762,0.356615786,0.359947882,0.367811152,0.39545975,0.385415467,0.378877973,0.348159925,0.427115254,0.36605281,0.379439641,0.37505004,0.377786785,0.373990275,0.359689284,0.362354989,0.354695838,0.387794689,0.374506752,0.365229576,0.381203915,0.409212658,0.375057592,0.376684595,0.363955133,0.485748967,0.395462161,0.366962814,0.373537987,0.3722886,0.372497051,0.378152654,0.400578655,0.388044502,0.376554215,0.364185867,0.369106534,0.367080098,0.36486579,0.393389457,0.38502122,0.375439882,0.366552873,0.369365575,0.389023767,0.37873794,0.366906992,0.37289061,0.372325235,0.36372182,0.366360691,0.409769219,0.365451783,0.363391164,0.365216567,0.363224066,0.37013442,0.398652758,0.371209725,0.378948477,0.359098447,0.377775913,0.359691925,0.395634531,0.359465027,0.367782638,0.360478866,0.351908703,0.351954046,0.353046967,0.360472583,0.387868429,0.394669283
ID15,0.941221317,0.906319241,0.888957699,0.863334446,0.927897337,0.878476018,0.878129113,0.880300384,0.885055655,0.876722378,0.86052599,0.856374512,0.856045407,0.851757734,0.875534461,0.875633878,0.937952091,0.930687995,0.923909625,0.880486499,0.97146029,0.870322411,0.904121294,0.901607871,0.897066733,0.885503506,0.859819937,0.860995692,0.855315082,0.911420974,0.892409937,0.876751123,0.893907162,0.934905851,0.895079892,0.876624877,0.858986216,1.108377946,0.936102209,0.855745668,0.86004083,0.863249014,0.875528024,0.867412947,0.935523177,0.917746514,0.89055952,0.85386292,0.894980666,0.881246733,0.880948177,0.931772299,0.897094471,0.890013458,0.86808046,0.869563732,0.911565164,0.889255393,0.863320754,0.893299735,0.896236753,0.887801065,0.894354171,0.945981563,0.868696615,0.888602564,0.885806642,0.897852984,0.882057173,0.930210879,0.874407624,0.905335183,0.876845573,0.889355733,0.865926484,0.913863384,0.874790572,0.91153712,0.894095794,0.871587144,0.871776682,0.861982735,0.887749649,0.963309953,0.935437433
