ID1,5/17/2016 12:36,5/17/2016 12:38,5/17/2016 12:40,5/17/2016 12:42,5/17/2016 12:44,5/17/2016 12:46,5/17/2016 12:48,5/17/2016 12:49,5/17/2016 12:51,5/17/2016 12:53,5/17/2016 12:55,5/17/2016 12:57,5/17/2016 12:59,5/17/2016 13:01,5/17/2016 13:03,5/17/2016 13:05,5/17/2016 13:07,5/17/2016 13:09,5/17/2016 13:11,5/17/2016 13:13,5/17/2016 13:15,5/17/2016 13:17,5/17/2016 13:19,5/17/2016 13:21,5/17/2016 13:23,5/17/2016 13:25,5/17/2016 13:27,5/17/2016 13:29,5/17/2016 13:31,5/17/2016 13:33,5/17/2016 13:35,5/17/2016 13:37,5/17/2016 13:39,5/17/2016 13:41,5/17/2016 13:43,5/17/2016 13:45,5/17/2016 13:47,5/17/2016 13:49,5/17/2016 13:51,5/17/2016 13:53,5/17/2016 13:55,5/17/2016 13:57,5/17/2016 13:59,5/17/2016 14:01,5/17/2016 14:03,5/17/2016 14:05,5/17/2016 14:07,5/17/2016 14:09,5/17/2016 14:11,5/17/2016 14:13,5/17/2016 14:15,5/17/2016 14:17,5/17/2016 14:19,5/17/2016 14:21,5/17/2016 14:23,5/17/2016 14:25,5/17/2016 14:27,5/17/2016 14:29,5/17/2016 14:31,5/17/2016 14:33,5/17/2016 14:35,5/17/2016 14:37,5/17/2016 14:39,5/17/2016 14:41,5/17/2016 14:43,5/17/2016 14:45,5/17/2016 14:47,5/17/2016 14:49,5/17/2016 14:51,5/17/2016 14:53,5/17/2016 14:55,5/17/2016 14:57,5/17/2016 14:59,5/17/2016 15:01,5/17/2016 15:03,5/17/2016 15:05,5/17/2016 15:07,5/17/2016 15:09,5/17/2016 15:11,5/17/2016 15:13,5/17/2016 15:15,5/17/2016 15:17,5/17/2016 15:19,5/17/2016 15:21,5/17/2016 15:23
ID2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ID3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID4,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
ID5,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2
ID6,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
ID7,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,15,15,15,15,15,14,14,14,14,14,14
ID8,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
ID9,91,88,124,96,116,94,109,99,92,113,99,105,89,79,75,101,112,91,111,100,74,34,108,87,106,42,81,107,105,64,79,80,98,71,89,107,84,9,86,118,92,100,101,93,107,104,89,113,95,97,108,106,111,95,79,74,82,101,103,87,100,83,92,83,99,90,85,85,86,99,83,97,83,80,43,56,94,102,35,81,81,77,82,72,63
ID10,0.875042926,0.894664418,0.85858745,0.892740885,0.866278287,0.891580785,0.896466456,0.914614899,0.898012908,0.880634679,0.875552399,0.862537202,0.907654494,0.923902294,0.911979167,0.900951423,0.887625558,0.90831044,0.888231982,0.918554688,0.928526182,0.919117647,0.899341725,0.928295618,0.911151238,0.948195685,0.918209877,0.910302278,0.919084821,0.873413086,0.929835839,0.907470703,0.939094388,0.922370158,0.937061096,0.901358061,0.925409226,1.100260417,0.923646439,0.913168697,0.939622962,0.955273438,0.933245668,0.924269153,0.930198598,0.920597957,0.95022823,0.926610896,0.963404605,0.947366302,0.949074074,0.936025943,0.935036599,0.959087171,0.988182358,1.012721706,0.980611662,0.977529394,0.957600121,0.972072557,0.969726563,0.97844503,0.985054348,0.98221009,0.981297348,0.984157986,0.986672794,0.994944853,0.985419695,0.977746212,0.963384789,0.97918009,1.007388931,0.953125,1.026526163,0.981794085,1.000249335,0.978094363,0.98828125,1.020206404,1.040943287,1.113534903,1.059213034,1.137152778,1.144283234
ID11,0.097056307,0.116919967,0.07054849,0.09832896,0.064508649,0.097032934,0.068640139,0.08581967,0.073535471,0.081310506,0.10741428,0.078083852,0.107344767,0.097121655,0.084097443,0.10344792,0.067088937,0.075384532,0.045068071,0.070089378,0.060841688,0.123614516,0.084794206,0.09309092,0.073230341,0.085755678,0.095258345,0.078710449,0.076743178,0.091838669,0.086412954,0.090386222,0.07785641,0.076589058,0.073845029,0.07732881,0.081910408,0.048828125,0.076667603,0.058729168,0.091447393,0.076836709,0.062536852,0.070899835,0.072213485,0.071804067,0.078241497,0.056579139,0.065614543,0.087352033,0.068080416,0.072113292,0.049907607,0.053334572,0.061804317,0.050361978,0.065301914,0.055612726,0.055070242,0.056410792,0.054708281,0.068520095,0.06225702,0.056205299,0.056296021,0.061880713,0.055946181,0.071658089,0.082083589,0.047088608,0.056665131,0.062887192,0.058284921,0.071232228,0.113750306,0.087305984,0.073352213,0.068748411,0.0630576,0.045624557,0.060392669,0.054648341,0.048844883,0.041622515,0.043338726
