ID1,5/17/2016 12:36,5/17/2016 12:38,5/17/2016 12:40,5/17/2016 12:42,5/17/2016 12:44,5/17/2016 12:46,5/17/2016 12:48,5/17/2016 12:49,5/17/2016 12:51,5/17/2016 12:53,5/17/2016 12:55,5/17/2016 12:57,5/17/2016 12:59,5/17/2016 13:01,5/17/2016 13:03,5/17/2016 13:05,5/17/2016 13:07,5/17/2016 13:09,5/17/2016 13:11,5/17/2016 13:13,5/17/2016 13:15,5/17/2016 13:17,5/17/2016 13:19,5/17/2016 13:21,5/17/2016 13:23,5/17/2016 13:25,5/17/2016 13:27,5/17/2016 13:29,5/17/2016 13:31,5/17/2016 13:33,5/17/2016 13:35,5/17/2016 13:37,5/17/2016 13:39,5/17/2016 13:41,5/17/2016 13:43,5/17/2016 13:45,5/17/2016 13:47,5/17/2016 13:49,5/17/2016 13:51,5/17/2016 13:53,5/17/2016 13:55,5/17/2016 13:57,5/17/2016 13:59,5/17/2016 14:01,5/17/2016 14:03,5/17/2016 14:05,5/17/2016 14:07,5/17/2016 14:09,5/17/2016 14:11,5/17/2016 14:13,5/17/2016 14:15,5/17/2016 14:17,5/17/2016 14:19,5/17/2016 14:21,5/17/2016 14:23,5/17/2016 14:25,5/17/2016 14:27,5/17/2016 14:29,5/17/2016 14:31,5/17/2016 14:33,5/17/2016 14:35,5/17/2016 14:37,5/17/2016 14:39,5/17/2016 14:41,5/17/2016 14:43,5/17/2016 14:45,5/17/2016 14:47,5/17/2016 14:49,5/17/2016 14:51,5/17/2016 14:53,5/17/2016 14:55,5/17/2016 14:57,5/17/2016 14:59,5/17/2016 15:01,5/17/2016 15:03,5/17/2016 15:05,5/17/2016 15:07,5/17/2016 15:09,5/17/2016 15:11,5/17/2016 15:13,5/17/2016 15:15,5/17/2016 15:17,5/17/2016 15:19,5/17/2016 15:21,5/17/2016 15:23
ID2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID4,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
ID5,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8
ID6,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
ID7,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
ID8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
ID9,77,71,77,88,69,85,68,65,80,82,29,64,88,87,72,73,79,76,82,62,64,87,74,60,64,69,26,80,93,72,60,59,56,72,68,77,88,74,73,71,89,78,73,67,72,83,69,50,80,82,63,62,62,60,66,62,48,50,66,39,74,71,61,62,64,63,62,72,57,61,77,80,63,66,71,60,74,87,84,59,74,84,74,75,86
ID10,1.009030032,1.011223592,1.010044643,1.026056463,1.016191123,1.036994485,1.032858456,1.011117788,1.02734375,1.033727134,1.062769397,1.033325195,1.024724787,1.023257902,1.051974826,1.055490154,1.044551028,1.05545847,1.031107088,1.031691028,1.049194336,1.052667026,1.030669341,1.07421875,1.089172363,1.06176404,1.025390625,1.046630859,1.050907258,1.049262153,1.0625,1.018273305,1.036900112,1.062554253,1.04865579,1.059760552,1.063121449,1.064717061,1.045590753,1.069542254,1.062807233,1.062199519,1.052011986,1.058185634,1.067979601,1.070218373,1.080446105,1.070703125,1.052978516,1.063976753,1.051587302,1.09311996,1.064768145,1.094726563,1.080137311,1.078629032,1.106363932,1.07734375,1.086055871,1.053185096,1.087679476,1.089898768,1.115202357,1.103830645,1.080322266,1.098710317,1.100050403,1.08344184,1.098204496,1.094390369,1.082842938,1.073730469,1.066778274,1.079841383,1.072018046,1.073242188,1.040962838,1.053565014,1.056547619,1.010990466,1.042282517,1.018647693,1.034892314,1.040625,1.043105015
ID11,0.091533514,0.083074073,0.07320669,0.069760871,0.092400567,0.070589907,0.089632435,0.091659718,0.074102851,0.062126683,0.063399731,0.066459001,0.056183115,0.075076581,0.078489026,0.068160546,0.071650593,0.063263628,0.067150831,0.07431173,0.06345271,0.050461813,0.098987464,0.052850111,0.073800036,0.076085734,0.149385337,0.070434207,0.065431149,0.07977342,0.048672288,0.073747371,0.074048173,0.07073758,0.077632056,0.050336748,0.055147028,0.084996111,0.083759628,0.078851587,0.066024515,0.066865027,0.100665183,0.092421574,0.082332403,0.066040893,0.089659535,0.048598792,0.07930245,0.072316479,0.075985571,0.073673083,0.105193384,0.076063999,0.103404711,0.091706522,0.093840823,0.111562491,0.101509254,0.139508703,0.091434149,0.075688839,0.075113246,0.087256287,0.096557246,0.046401158,0.0687379,0.080827237,0.097517867,0.083244318,0.087029401,0.08355898,0.108429712,0.059613044,0.066402089,0.111035614,0.0739839,0.076190875,0.103732247,0.075673674,0.065266003,0.06714642,0.066055401,0.081897917,0.055758447
