ID1,9/23/2016 23:19,9/23/2016 23:21,9/23/2016 23:23,9/23/2016 23:25,9/23/2016 23:27,9/23/2016 23:29,9/23/2016 23:31,9/23/2016 23:32,9/23/2016 23:34,9/23/2016 23:36,9/23/2016 23:38,9/23/2016 23:40,9/23/2016 23:42,9/23/2016 23:44,9/23/2016 23:46,9/23/2016 23:48,9/23/2016 23:50,9/23/2016 23:52,9/23/2016 23:54,9/23/2016 23:56,9/23/2016 23:58,9/24/2016 0:00,9/24/2016 0:02,9/24/2016 0:04,9/24/2016 0:06,9/24/2016 0:08,9/24/2016 0:10,9/24/2016 0:12,9/24/2016 0:14,9/24/2016 0:16,9/24/2016 0:18,9/24/2016 0:20,9/24/2016 0:22,9/24/2016 0:24,9/24/2016 0:26,9/24/2016 0:28,9/24/2016 0:30,9/24/2016 0:32,9/24/2016 0:34,9/24/2016 0:36,9/24/2016 0:38,9/24/2016 0:40,9/24/2016 0:42,9/24/2016 0:44,9/24/2016 0:46,9/24/2016 0:48,9/24/2016 0:50,9/24/2016 0:52,9/24/2016 0:54,9/24/2016 0:56,9/24/2016 0:58,9/24/2016 1:00,9/24/2016 1:02,9/24/2016 1:04,9/24/2016 1:06,9/24/2016 1:08,9/24/2016 1:10,9/24/2016 1:12,9/24/2016 1:14,9/24/2016 1:16,9/24/2016 1:18,9/24/2016 1:20,9/24/2016 1:22,9/24/2016 1:24,9/24/2016 1:26,9/24/2016 1:28,9/24/2016 1:30,9/24/2016 1:32,9/24/2016 1:34,9/24/2016 1:36,9/24/2016 1:38,9/24/2016 1:40,9/24/2016 1:42,9/24/2016 1:44,9/24/2016 1:46,9/24/2016 1:48,9/24/2016 1:50,9/24/2016 1:52,9/24/2016 1:54,9/24/2016 1:56,9/24/2016 1:58,9/24/2016 2:00,9/24/2016 2:02,9/24/2016 2:04,9/24/2016 2:06
ID2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ID3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID4,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
ID5,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6
ID6,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
ID7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
ID8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ID9,67,86,72,63,37,54,65,61,60,66,56,45,61,61,77,54,84,75,64,59,59,64,67,65,72,20,32,29,54,24,40,66,46,63,68,62,65,30,60,76,75,76,63,89,85,66,11,27,4,55,38,65,65,63,55,59,56,49,57,54,52,5,56,65,70,52,55,40,66,67,48,46,66,34,60,73,57,55,54,53,45,58,83,84,55
ID10,1.022329757,1.013581032,1.024034288,1.033916171,1.031461149,0.993200231,1.036959135,1.041239754,1.029296875,1.033972538,1.043875558,1.030381944,1.040599385,1.05180584,1.043019481,1.05432581,1.03608631,1.053125,1.034851074,1.063294492,1.025225106,1.046142578,1.065473414,1.069411058,1.067979601,1.083007813,1.073608398,1.073545259,1.067708333,1.062825521,1.05078125,1.052616004,1.04407269,1.058097718,1.054974724,1.051537298,1.048677885,1.063151042,1.030273438,1.040810033,1.044791667,1.038754112,1.043216766,1.022647472,1.029871324,1.024502841,0.997869318,1.080005787,1.142578125,1.075994318,1.067023026,1.079026442,1.088942308,1.090959821,1.104403409,1.102025953,1.094447545,1.096938776,1.08107182,1.081452546,1.102388822,1.1015625,1.086774554,1.078425481,1.061662946,1.058067909,1.067471591,1.085449219,1.086943655,1.07917444,1.045735677,1.05638587,1.065044981,1.043772978,1.078125,1.077964469,1.089638158,1.096946023,1.098813657,1.088590802,1.096788194,1.048962823,1.009036145,0.990978423,1.000355114
ID11,0.079267236,0.039180551,0.03777966,0.039667849,0.04846607,0.062620504,0.040075232,0.054958983,0.064256711,0.030619923,0.036476862,0.056814174,0.061982225,0.032258323,0.032660484,0.036880919,0.034555607,0.033486039,0.056595407,0.04123651,0.068754906,0.054788716,0.060370357,0.033480354,0.034973359,0.052052271,0.033823433,0.032799692,0.03698017,0.046045604,0.073373113,0.03832366,0.064542699,0.057055118,0.043932212,0.035222634,0.027169479,0.05540519,0.061197975,0.051112281,0.053379837,0.042277889,0.042041598,0.044386711,0.035835381,0.049550761,0.192648739,0.139461543,0.05167483,0.037261871,0.049830516,0.034704187,0.030499168,0.031150836,0.027317433,0.032883339,0.04798119,0.039133021,0.050540729,0.029461335,0.029306693,0.085804229,0.032983812,0.033205334,0.059486678,0.061608167,0.031045469,0.028965305,0.048510678,0.05270952,0.047834527,0.028771648,0.042269176,0.110296022,0.041595571,0.033301519,0.051640128,0.029540279,0.058061307,0.079811181,0.071028399,0.068151864,0.049399017,0.043633094,0.065718769
